数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2016/11/29,903474879,04435(1153),4221,主供主表,C相,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.09,0.15,0.14,0.13,0.16,0.11,0.16,0.13,0.13,0.18,0.17,0.12,0.1,0.11,0.07,0.08,0.07,800,高供高计,1000,东新营业班
2015/5/12,903474879,04435(1153),4221,分表０２,A相,,,,,,,,,,,,,,,,,,,,,,,,,800,高供高计,100,东新营业班
2015/5/12,903474879,04435(1153),4221,分表０２,B相,,,,,,,,,,,,,,,,,,,,,,,,,800,高供高计,100,东新营业班
2015/5/12,903474879,04435(1153),4221,分表０２,C相,,,,,,,,,,,,,,,,,,,,,,,,,800,高供高计,100,东新营业班
2015/5/13,903474879,04435(1153),4221,分表０２,A相,,,,,,,,,,,,0.06,0.07,0.08,0.07,0.07,0.07,0.06,0.08,0.08,0.07,0.06,0.06,0.06,800,高供高计,100,东新营业班
2015/5/13,903474879,04435(1153),4221,分表０２,B相,,,,,,,,,,,,0.08,0.09,0.17,0.18,0.1,0.1,0.1,0.11,0.12,0.1,0.06,0.07,0.06,800,高供高计,100,东新营业班
2015/5/13,903474879,04435(1153),4221,分表０２,C相,,,,,,,,,,,,0.07,0.14,0.08,0.09,0.09,0.09,0.09,0.11,0.11,0.1,0.07,0.08,0.08,800,高供高计,100,东新营业班
2015/5/25,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0.01,0.05,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.08,0.08,0.07,0.07,0.07,0.03,0.01,800,高供高计,100,东新营业班
2015/6/26,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0.01,0.37,0.4,0.4,0.42,0.57,0.48,0.51,0.46,0.46,0.47,0.37,0.36,0.05,0,0,0,,800,高供高计,100,东新营业班
2015/6/26,903474879,04435(1153),4221,分表０２,B相,0,0,0,0,0,0,0.03,0.43,0.42,0.38,0.41,0.55,0.44,0.49,0.47,0.46,0.39,0.37,0.36,0.05,0,0,0,,800,高供高计,100,东新营业班
2015/7/4,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0.05,0.05,0.53,0.55,0.49,0.5,0.53,0.48,0.41,0.4,0.41,0.07,0.07,0.07,0,0,0,800,高供高计,100,东新营业班
2015/8/7,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0.34,0.33,0.52,0.46,0.46,0.44,0.43,0.46,0.43,0.44,0.43,0.44,0.19,0,0,0,0,800,高供高计,100,东新营业班
2015/8/7,903474879,04435(1153),4221,分表０２,B相,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38,0.38,0.54,0.44,0.44,0.48,0.48,0.43,0.43,0.42,0.43,0.43,0.13,0.01,0.01,0.01,0,800,高供高计,100,东新营业班
2015/8/7,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0.34,0.32,0.58,0.51,0.51,0.56,0.61,0.6,0.58,0.58,0.6,0.6,0.12,0,0,0,0,800,高供高计,100,东新营业班
