测量点,数据日期,正向有功-总,示数,正向无功-总,示数
主供主表,2015/11/18,"1,320.00",574.2,760,298.46
主供主表,2015/11/19,"1,350.00",575.55,780,299.24
主供主表,2015/11/20,"1,160.00",576.71,570,299.81
主供主表,2015/11/21,450,577.16,220,300.03
主供主表,2015/11/22,410,577.57,230,300.26
主供主表,2015/11/23,"1,330.00",578.9,770,301.03
主供主表,2015/11/24,"1,470.00",580.37,820,301.85
主供主表,2015/11/25,"1,690.00",582.06,960,302.81
主供主表,2015/11/26,"1,550.00",583.61,830,303.64
主供主表,2015/11/27,"1,510.00",585.12,800,304.44
主供主表,2015/11/28,460,585.58,260,304.71
主供主表,2015/11/29,450,586.03,240,304.94
主供主表,2015/11/30,"1,640.00",587.67,950,305.89
主供主表,2015/12/1,"1,640.00",589.31,960,306.85
主供主表,2015/12/2,"1,560.00",590.88,850,307.7
主供主表,2015/12/3,"1,480.00",592.35,730,308.43
主供主表,2015/12/4,"1,530.00",593.88,890,309.32
主供主表,2015/12/5,520,594.4,270,309.59
主供主表,2015/12/6,580,594.98,270,309.86
主供主表,2015/12/7,"1,530.00",596.51,820,310.68
主供主表,2015/12/8,"1,550.00",598.06,830,311.51
主供主表,2015/12/9,"1,570.00",599.63,950,312.46
主供主表,2015/12/10,"1,610.00",601.25,940,313.4
主供主表,2015/12/11,"1,450.00",602.69,850,314.25
主供主表,2015/12/12,580,603.27,330,314.58
主供主表,2015/12/13,510,603.78,230,314.81
主供主表,2015/12/14,"1,600.00",605.38,720,315.53
主供主表,2015/12/15,"1,410.00",606.79,790,316.32
主供主表,2015/12/16,"1,570.00",608.36,870,317.19
主供主表,2015/12/17,"1,520.00",609.88,780,317.97
主供主表,2015/12/18,"1,460.00",611.34,790,318.76
主供主表,2015/12/19,920,612.26,550,319.31
主供主表,2015/12/20,720,612.99,430,319.74
主供主表,2015/12/21,"1,710.00",614.69,"1,000.00",320.74
主供主表,2015/12/22,"1,700.00",616.39,960,321.7
主供主表,2015/12/23,"1,750.00",618.15,"1,080.00",322.78
主供主表,2015/12/24,"1,550.00",619.69,980,323.76
主供主表,2015/12/25,"1,340.00",621.03,830,324.59
主供主表,2015/12/26,960,621.99,580,325.17
主供主表,2015/12/27,850,622.84,510,325.68
主供主表,2015/12/28,"1,520.00",624.36,950,326.63
主供主表,2015/12/29,"1,560.00",625.92,950,327.58
主供主表,2015/12/30,"1,560.00",627.48,870,328.45
主供主表,2015/12/31,"1,420.00",628.9,840,329.29
主供主表,2016/1/1,450,629.35,270,329.56
主供主表,2016/1/2,390,629.74,230,329.79
主供主表,2016/1/3,380,630.12,190,329.98
