数据日期,用户名称,综合倍率,表位数,总,尖,峰,平,谷
2015/7/17,楚天激光集团股份有限公司,100,5.2,315,0,130,177,8
2015/7/17,楚天激光集团股份有限公司,60,5.2,150.6,0,43.8,86.4,20.4
2015/7/18,楚天激光集团股份有限公司,1000,6.2,2070,0,530,1380,140
2015/7/18,楚天激光集团股份有限公司,100,5.2,325,0,100,199,26
2015/7/18,楚天激光集团股份有限公司,60,5.2,105,0,30,61.2,13.8
2015/7/19,楚天激光集团股份有限公司,1000,6.2,730,0,230,390,130
2015/7/19,楚天激光集团股份有限公司,100,5.2,293,0,99,188,6
2015/7/19,楚天激光集团股份有限公司,60,5.2,91.8,0,30,45,16.8
2015/7/20,楚天激光集团股份有限公司,1000,6.2,3270,0,820,2170,270
2015/7/20,楚天激光集团股份有限公司,100,5.2,334,0,123,198,13
2015/7/20,楚天激光集团股份有限公司,60,5.2,172.2,0,49.8,98.4,24
2015/7/21,楚天激光集团股份有限公司,1000,6.2,3590,0,960,2300,340
2015/7/21,楚天激光集团股份有限公司,100,5.2,375,0,155,214,6
2015/7/21,楚天激光集团股份有限公司,60,5.2,177.6,0,54,96,27.6
2015/7/22,楚天激光集团股份有限公司,1000,6.2,3870,0,890,2690,270
2015/7/22,楚天激光集团股份有限公司,100,5.2,314,0,93,214,7
2015/7/22,楚天激光集团股份有限公司,60,5.2,181.8,0,50.4,100.2,31.2
2015/7/23,楚天激光集团股份有限公司,1000,6.2,3260,0,810,2180,280
2015/7/23,楚天激光集团股份有限公司,100,5.2,303,0,103,196,4
2015/7/23,楚天激光集团股份有限公司,60,5.2,167.4,0,45,92.4,30
2015/7/24,楚天激光集团股份有限公司,1000,6.2,3000,0,760,1980,260
2015/7/24,楚天激光集团股份有限公司,100,5.2,335,0,140,187,8
2015/7/24,楚天激光集团股份有限公司,60,5.2,148.8,0,41.4,84.6,22.8
2015/7/25,楚天激光集团股份有限公司,1000,6.2,2550,0,640,1680,230
2015/7/25,楚天激光集团股份有限公司,100,5.2,415,0,138,253,24
2015/7/25,楚天激光集团股份有限公司,60,5.2,132.6,0,37.8,75.6,19.2
2015/7/26,楚天激光集团股份有限公司,1000,6.2,2440,0,540,1620,280
2015/7/26,楚天激光集团股份有限公司,100,5.2,324,0,93,201,30
2015/7/26,楚天激光集团股份有限公司,60,5.2,111.6,0,32.4,55.2,24
2015/7/27,楚天激光集团股份有限公司,1000,6.2,3440,0,820,2340,280
2015/7/27,楚天激光集团股份有限公司,100,5.2,279,0,92,185,2
2015/7/27,楚天激光集团股份有限公司,60,5.2,186.6,0,54.6,102,30
2015/7/28,楚天激光集团股份有限公司,1000,6.2,3810,0,900,2440,480
2015/7/28,楚天激光集团股份有限公司,100,5.2,295,0,95,198,2
2015/7/28,楚天激光集团股份有限公司,60,5.2,192.6,0,55.8,100.8,36
2015/7/29,楚天激光集团股份有限公司,1000,6.2,3510,0,840,2370,290
2015/7/29,楚天激光集团股份有限公司,100,5.2,318,0,91,211,16
2015/7/29,楚天激光集团股份有限公司,60,5.2,201.6,0,61.2,103.8,36.6
2015/7/30,楚天激光集团股份有限公司,1000,6.2,3810,0,940,2570,300
2015/7/30,楚天激光集团股份有限公司,100,5.2,322,0,126,193,3
2015/7/30,楚天激光集团股份有限公司,60,5.2,195,0,57.6,99.6,37.8
2015/7/31,楚天激光集团股份有限公司,1000,6.2,3950,0,1010,2640,300
2015/7/31,楚天激光集团股份有限公司,100,5.2,446,0,188,254,4
2015/7/31,楚天激光集团股份有限公司,60,5.2,209.4,0,62.4,106.2,40.8
2015/8/1,楚天激光集团股份有限公司,1000,6.2,1980,0,550,1240,190
2015/8/1,楚天激光集团股份有限公司,100,5.2,344,0,125,202,17
2015/8/1,楚天激光集团股份有限公司,60,5.2,200.4,0,59.4,102.6,38.4
2015/8/2,楚天激光集团股份有限公司,1000,6.2,930,0,270,460,200
2015/8/2,楚天激光集团股份有限公司,100,5.2,313,0,109,199,5
2015/8/2,楚天激光集团股份有限公司,60,5.2,187.2,0,55.2,91.2,40.8
2015/8/3,楚天激光集团股份有限公司,1000,6.2,3970,0,1000,2690,290
2015/8/3,楚天激光集团股份有限公司,100,5.2,367,0,126,236,5
2015/8/3,楚天激光集团股份有限公司,60,5.2,262.2,0,88.8,128.4,45
2015/8/4,楚天激光集团股份有限公司,1000,6.2,4310,0,1040,2780,480
2015/8/4,楚天激光集团股份有限公司,100,5.2,328,0,106,217,5
2015/8/4,楚天激光集团股份有限公司,60,5.2,243,0,73.2,124.2,45.6
2015/8/5,楚天激光集团股份有限公司,1000,6.2,4290,0,1050,2810,430
2015/8/5,楚天激光集团股份有限公司,100,5.2,355,0,118,205,32
2015/8/5,楚天激光集团股份有限公司,60,5.2,226.8,0,68.4,110.4,48
2015/8/6,楚天激光集团股份有限公司,1000,6.2,4270,0,1040,2820,410
2015/8/6,楚天激光集团股份有限公司,100,5.2,295,0,108,182,5
2015/8/6,楚天激光集团股份有限公司,60,5.2,198,0,57,97.8,43.2
2015/8/7,楚天激光集团股份有限公司,1000,6.2,4270,0,1030,2850,390
2015/8/7,楚天激光集团股份有限公司,100,5.2,329,0,102,209,18
2015/8/7,楚天激光集团股份有限公司,60,5.2,201,0,57,103.2,40.8
2015/8/8,楚天激光集团股份有限公司,1000,6.2,1050,0,300,560,190
2015/8/8,楚天激光集团股份有限公司,100,5.2,347,0,129,199,19
2015/8/8,楚天激光集团股份有限公司,60,5.2,158.4,0,45,76.8,36.6
2015/8/9,楚天激光集团股份有限公司,1000,6.2,930,0,280,490,170
2015/8/9,楚天激光集团股份有限公司,100,5.2,248,0,88,156,4
2015/8/9,楚天激光集团股份有限公司,60,5.2,146.4,0,40.2,69.6,36.6
2015/8/10,楚天激光集团股份有限公司,1000,6.2,3950,0,920,2640,380
2015/8/10,楚天激光集团股份有限公司,100,5.2,235,0,81,151,3
2015/8/10,楚天激光集团股份有限公司,60,5.2,181.2,0,49.8,94.8,36.6
2015/8/11,楚天激光集团股份有限公司,1000,6.2,3730,0,890,2530,320
2015/8/11,楚天激光集团股份有限公司,100,5.2,274,0,91,180,3
2015/8/11,楚天激光集团股份有限公司,60,5.2,174.6,0,48,95.4,31.2
2015/8/12,楚天激光集团股份有限公司,1000,6.2,3880,0,940,2580,350
2015/8/12,楚天激光集团股份有限公司,100,5.2,319,0,106,189,24
2015/8/12,楚天激光集团股份有限公司,60,5.2,175.2,0,51,93,31.2
2015/8/13,楚天激光集团股份有限公司,1000,6.2,3810,0,950,2520,350
2015/8/13,楚天激光集团股份有限公司,100,5.2,232,0,92,138,2
2015/8/13,楚天激光集团股份有限公司,60,5.2,180,0,50.4,97.2,32.4
2015/8/14,楚天激光集团股份有限公司,1000,6.2,5430,0,1760,3290,380
2015/8/14,楚天激光集团股份有限公司,100,5.2,251,0,89,155,7
2015/8/14,楚天激光集团股份有限公司,60,5.2,190.2,0,55.8,99.6,34.8
2015/8/15,楚天激光集团股份有限公司,1000,6.2,3920,0,1360,2230,330
2015/8/15,楚天激光集团股份有限公司,100,5.2,165,0,54,78,33
2015/8/15,楚天激光集团股份有限公司,60,5.2,160.8,0,47.4,79.8,33.6
2015/8/16,楚天激光集团股份有限公司,1000,6.2,2810,0,980,1590,230
2015/8/16,楚天激光集团股份有限公司,100,5.2,260,0,111,147,2
2015/8/16,楚天激光集团股份有限公司,60,5.2,151.8,0,42.6,79.2,30
2015/8/17,楚天激光集团股份有限公司,1000,6.2,3960,0,970,2640,350
2015/8/17,楚天激光集团股份有限公司,100,5.2,285,0,100,180,5
2015/8/17,楚天激光集团股份有限公司,60,5.2,186.6,0,50.4,100.2,36
2015/8/18,楚天激光集团股份有限公司,1000,6.2,4100,0,1100,2660,350
2015/8/18,楚天激光集团股份有限公司,100,5.2,359,0,151,206,2
2015/8/18,楚天激光集团股份有限公司,60,5.2,183.6,0,52.8,98.4,32.4
2015/8/19,楚天激光集团股份有限公司,1000,6.2,3340,0,840,2120,380
2015/8/19,楚天激光集团股份有限公司,100,5.2,300,0,95,183,22
2015/8/19,楚天激光集团股份有限公司,60,5.2,178.2,0,45,96.6,36.6
2015/8/20,楚天激光集团股份有限公司,1000,6.2,2320,0,560,1550,210
2015/8/20,楚天激光集团股份有限公司,100,5.2,240,0,62,176,2
2015/8/20,楚天激光集团股份有限公司,60,5.2,170.4,0,46.8,96,27.6
2015/8/21,楚天激光集团股份有限公司,1000,6.2,3490,0,850,2360,270
2015/8/21,楚天激光集团股份有限公司,100,5.2,307,0,109,195,3
2015/8/21,楚天激光集团股份有限公司,60,5.2,178.2,0,51.6,96.6,30
2015/8/22,楚天激光集团股份有限公司,1000,6.2,2180,0,710,1270,200
2015/8/22,楚天激光集团股份有限公司,100,5.2,277,0,118,156,3
2015/8/22,楚天激光集团股份有限公司,60,5.2,135,0,42.6,66.6,25.8
2015/8/23,楚天激光集团股份有限公司,1000,6.2,920,0,310,470,150
2015/8/23,楚天激光集团股份有限公司,100,5.2,306,0,107,197,2
2015/8/23,楚天激光集团股份有限公司,60,5.2,151.8,0,46.8,77.4,27.6
2015/8/24,楚天激光集团股份有限公司,1000,6.2,3830,0,920,2600,300
2015/8/24,楚天激光集团股份有限公司,100,5.2,280,0,91,186,3
2015/8/24,楚天激光集团股份有限公司,60,5.2,201.6,0,58.2,107.4,36
2015/8/25,楚天激光集团股份有限公司,1000,6.2,3540,0,850,2390,300
2015/8/25,楚天激光集团股份有限公司,100,5.2,277,0,92,182,3
2015/8/25,楚天激光集团股份有限公司,60,5.2,182.4,0,49.8,96.6,36
2015/8/26,楚天激光集团股份有限公司,1000,6.2,3520,0,860,2360,300
2015/8/26,楚天激光集团股份有限公司,100,5.2,300,0,86,194,20
2015/8/26,楚天激光集团股份有限公司,60,5.2,183.6,0,49.8,99,34.8
2015/8/27,楚天激光集团股份有限公司,1000,6.2,3510,0,860,2380,270
2015/8/27,楚天激光集团股份有限公司,100,5.2,290,0,100,188,2
2015/8/27,楚天激光集团股份有限公司,60,5.2,181.8,0,49.8,100.2,31.8
2015/8/28,楚天激光集团股份有限公司,1000,6.2,3660,0,950,2420,290
2015/8/28,楚天激光集团股份有限公司,100,5.2,366,0,147,199,20
2015/8/28,楚天激光集团股份有限公司,60,5.2,193.2,0,57,100.8,35.4
2015/8/29,楚天激光集团股份有限公司,1000,6.2,2280,0,670,1450,160
2015/8/29,楚天激光集团股份有限公司,100,5.2,267,0,94,168,5
2015/8/29,楚天激光集团股份有限公司,60,5.2,132.6,0,39,63.6,30
2015/8/30,楚天激光集团股份有限公司,1000,6.2,730,0,200,360,170
2015/8/30,楚天激光集团股份有限公司,100,5.2,283,0,91,170,22
2015/8/30,楚天激光集团股份有限公司,60,5.2,76.2,0,25.2,38.4,12.6
2015/8/31,楚天激光集团股份有限公司,1000,6.2,3600,0,900,2450,250
2015/8/31,楚天激光集团股份有限公司,100,5.2,296,0,113,178,5
2015/8/31,楚天激光集团股份有限公司,60,5.2,148.8,0,42,88.8,18
2015/9/1,楚天激光集团股份有限公司,1000,6.2,3590,0,840,2440,310
2015/9/1,楚天激光集团股份有限公司,100,5.2,266,0,61,180,25
2015/9/1,楚天激光集团股份有限公司,60,5.2,169.8,0,48.6,94.8,26.4
2015/9/2,楚天激光集团股份有限公司,1000,6.2,3630,0,890,2430,320
2015/9/2,楚天激光集团股份有限公司,100,5.2,327,0,113,191,23
2015/9/2,楚天激光集团股份有限公司,60,5.2,174,0,48,96.6,29.4
2015/9/3,楚天激光集团股份有限公司,1000,6.2,640,0,150,290,200
2015/9/3,楚天激光集团股份有限公司,100,5.2,13,0,3,6,4
2015/9/3,楚天激光集团股份有限公司,60,5.2,117,0,34.2,59.4,23.4
2015/9/4,楚天激光集团股份有限公司,1000,6.2,570,0,140,270,160
2015/9/4,楚天激光集团股份有限公司,100,5.2,6,0,2,2,2
2015/9/4,楚天激光集团股份有限公司,60,5.2,117,0,33,59.4,24.6
2015/9/5,楚天激光集团股份有限公司,1000,6.2,750,0,230,360,140
2015/9/5,楚天激光集团股份有限公司,100,5.2,234,0,100,127,7
