month,date,hour,peak_flat_valley,power_num,id,lstm
7,8,4,0,13889,40727,0.0
7,8,5,0,14081,40728,0.0
7,8,6,0,14213,40729,0.0
7,8,7,0,14008,40730,0.0
7,8,8,1,14039,40731,0.0
7,8,9,1,12673,40732,0.0
7,8,10,1,12657,40733,0.0
7,8,11,1,13516,40734,0.0
7,8,12,1,13330,40735,0.0
7,8,13,1,13159,40736,0.0
7,8,14,2,13464,40737,0.0
7,8,15,2,14162,40738,0.0
7,8,16,2,15322,40739,0.0
7,8,17,1,15457,40740,0.0
7,8,18,1,16236,40741,0.0
7,8,19,2,15742,40742,0.0
7,8,20,2,15770,40743,0.0
7,8,21,2,14985,40744,0.0
7,8,22,1,15323,40745,0.0
7,8,23,1,15819,40746,0.0
7,9,0,0,15413,40747,0.0
7,9,1,0,15622,40748,0.0
7,9,2,0,15554,40749,0.0
7,9,3,0,15493,40750,0.0
7,9,4,0,15670,40751,0.0
7,9,5,0,15725,40752,0.0
7,9,6,0,15194,40753,0.0
7,9,7,0,14450,40754,0.0
7,9,8,1,14579,40755,0.0
7,9,9,1,13890,40756,0.0
7,9,10,1,12809,40757,0.0
7,9,11,1,12762,40758,0.0
7,9,12,1,12780,40759,0.0
7,9,13,1,12530,40760,0.0
7,9,14,2,13053,40761,0.0
7,9,15,2,11663,40762,0.0
7,9,16,2,13035,40763,0.0
7,9,17,1,14478,40764,0.0
7,9,18,1,15578,40765,0.0
7,9,19,2,16093,40766,0.0
7,9,20,2,15816,40767,0.0
7,9,21,2,15557,40768,0.0
7,9,22,1,15688,40769,15734.572540640833
7,9,23,1,15568,40770,15610.686024248602
7,10,0,0,15457,40771,15493.552402675154
7,10,1,0,15574,40772,15608.929308772089
7,10,2,0,15511,40773,15544.414873838427
7,10,3,0,15722,40774,15755.244363963606
7,10,4,0,15771,40775,15805.140510320665
7,10,5,0,15690,40776,15724.092643082144
7,10,6,0,15443,40777,15478.083328127863
7,10,7,0,14803,40778,14837.550028681757
7,10,8,1,14375,40779,14410.408205509186
7,10,9,1,12892,40780,12923.007627546787
7,10,10,1,12340,40781,12371.974911510944
7,10,11,1,12700,40782,12740.570930957794
7,10,12,1,12889,40783,12926.811656177044
7,10,13,1,12334,40784,12362.782571732998
7,10,14,2,12314,40785,12343.530475616455
7,10,15,2,13799,40786,13839.080917954445
7,10,16,2,15294,40787,15338.249826550486
7,10,17,1,15337,40788,15373.21958076954
7,10,18,1,16268,40789,16305.306378722193
7,10,19,2,15849,40790,15894.59295254946
7,10,20,2,15637,40791,15680.232525587084
7,10,21,2,15605,40792,15650.094395399095
7,10,22,1,15587,40793,15628.62780493498
7,10,23,1,15764,40794,15801.509789943697
7,11,0,0,15143,40795,15174.666091918947
7,11,1,0,15605,40796,15638.669180095198
7,11,2,0,15463,40797,15497.988393723967
7,11,3,0,15604,40798,15636.705895185472
7,11,4,0,15221,40799,15254.096415460112
7,11,5,0,14109,40800,14138.412280797958
7,11,6,0,13830,40801,13864.074068784714
7,11,7,0,13119,40802,13155.244188129902
7,11,8,1,13804,40803,13841.069586396217
7,11,9,1,14041,40804,14079.462966442108
7,11,10,1,12881,40805,12907.603324770927
7,11,11,1,12581,40806,12609.631293833256
7,11,12,1,12805,40807,12845.875826597214
7,11,13,1,12534,40808,12572.721887648106
7,11,14,2,11645,40809,11676.361098110676
7,11,15,2,13151,40810,13186.523701965809
7,11,16,2,14067,40811,14112.054546296597
7,11,17,1,14345,40812,14377.299326777458
7,11,18,1,14997,40813,15030.787855803968
7,11,19,2,16050,40814,16092.136351883413
7,11,20,2,15597,40815,15639.326526045801
7,11,21,2,15510,40816,15548.967279016973
7,11,22,1,15733,40817,15776.56915676594
7,11,23,1,15784,40818,15824.922159433367
7,12,0,0,15509,40819,15544.302836179735
7,12,1,0,15338,40820,15371.560022950174
7,12,2,0,15599,40821,15634.451137304308
7,12,3,0,15616,40822,15650.797256648542
7,12,4,0,15488,40823,15520.75654667616
7,12,5,0,15464,40824,15498.358643174173
7,12,6,0,14934,40825,14968.333863437178
7,12,7,0,13861,40826,13891.71848577261
7,12,8,1,13652,40827,13686.862878620625
7,12,9,1,12484,40828,12518.212065517902
7,12,10,1,11723,40829,11753.631195545197
7,12,11,1,11755,40830,11792.162521898746
7,12,12,1,12296,40831,12334.876441776752
7,12,13,1,11869,40832,11902.8294698596
7,12,14,2,11180,40833,11208.845454275608
7,12,15,2,11923,40834,11958.486802697182
7,12,16,2,13455,40835,13498.55733436346
7,12,17,1,14018,40836,14057.749543011189
7,12,18,1,14407,40837,14439.846100330353
7,12,19,2,14374,40838,14412.497532784939
7,12,20,2,13299,40839,13337.10143995285
7,12,21,2,12909,40840,12945.726764023304
7,12,22,1,13549,40841,13590.350313305855
7,12,23,1,13617,40842,13654.462988197803
