数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2013/2/15,分表０１,无功功率,2.4,2.4,3,3,3,3,3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,500,高供高计,60,常青营业一班
2013/2/16,分表０１,有功功率,5.4,5.58,5.652,5.19,4.842,4.686,4.494,0.912,13.362,20.238,30.456,20.058,31.386,30.708,26.844,21.216,7.536,14.502,1.65,1.656,4.32,4.314,4.332,4.776,500,高供高计,60,常青营业一班
2013/2/16,分表０１,无功功率,3,3,3,3,3,3,3,0,1.2,0,1.8,0,3,5.4,5.4,0,0,0,0,0,0,0,0,2.4,500,高供高计,60,常青营业一班
2013/2/17,分表０１,有功功率,4.938,4.872,5.316,5.724,5.64,5.382,1.74,1.176,21.678,43.482,54.87,54.888,81.168,66.9,73.764,80.736,72.318,57.336,35.208,35.214,37.668,45.396,44.256,43.374,500,高供高计,60,常青营业一班
2013/2/17,分表０１,无功功率,2.4,2.4,2.4,3,3,3,0,0,0,14.4,24.6,24,26.4,41.4,38.4,37.2,31.2,26.4,25.8,27,27,31.8,32.4,30.6,500,高供高计,60,常青营业一班
2013/2/18,分表０１,有功功率,40.764,44.454,44.94,45.72,40.824,49.14,39.024,45.192,46.26,77.232,99.618,83.694,,,,22.026,43.68,44.742,53.106,54.648,46.35,51.636,50.214,54.948,500,高供高计,60,常青营业一班
2013/2/18,分表０１,无功功率,28.2,33,32.4,33,27.6,37.8,28.2,30,27,30.6,36.6,31.8,,,,3,30.6,31.2,34.8,34.2,30.6,34.2,34.8,34.2,500,高供高计,60,常青营业一班
2013/2/19,分表０１,有功功率,54.234,44.118,43.08,50.784,46.296,45.87,36.918,41.424,58.392,123.96,108.414,96.228,90.102,94.458,88.518,103.098,93.852,97.326,59.328,65.022,54.996,58.812,68.424,57.816,500,高供高计,60,常青营业一班
2013/2/19,分表０１,无功功率,35.4,37.8,33.6,39.6,34.2,43.2,34.8,36,25.2,52.2,34.8,36,30.6,35.4,37.2,36,28.8,34.2,20.4,35.4,24,27,36,25.2,500,高供高计,60,常青营业一班
2013/2/20,分表０１,有功功率,64.338,58.464,65.07,72.234,61.728,59.892,55.314,54.264,72.048,98.742,75.468,92.148,86.904,99.708,79.428,91.884,94.986,91.008,69.156,71.352,64.302,68.958,69.504,64.338,500,高供高计,60,常青营业一班
2013/2/20,分表０１,无功功率,34.8,27.6,31.8,40.2,28.2,35.4,29.4,31.2,30,43.8,24,39.6,33.6,37.8,30.6,34.8,37.2,37.2,34.2,35.4,25.8,32.4,35.4,30,500,高供高计,60,常青营业一班
2013/2/21,分表０１,有功功率,71.664,77.58,70.938,61.032,63.516,65.406,59.214,68.922,72.576,87.114,88.668,96.714,97.242,105.714,103.068,97.584,81.636,87.324,74.178,70.47,77.832,70.884,73.5,70.734,500,高供高计,60,常青营业一班
2013/2/21,分表０１,无功功率,40.8,51.6,37.2,39,37.2,41.4,32.4,39,33.6,38.4,33.6,35.4,33,40.2,36,42,33.6,31.8,30,25.8,26.4,32.4,30,33.6,500,高供高计,60,常青营业一班
2013/2/22,分表０１,有功功率,65.244,69.984,72.936,60.714,59.322,61.068,61.092,59.256,68.808,64.14,55.668,69,78,65.91,81.27,67.374,66.714,63.474,82.866,68.808,71.016,76.65,82.254,74.502,500,高供高计,60,常青营业一班
2013/2/22,分表０１,无功功率,30.6,32.4,33.6,31.2,30.6,27,26.4,31.8,22.2,27,27,30.6,35.4,27,28.2,22.2,28.2,26.4,36.6,21,21,28.8,29.4,24.6,500,高供高计,60,常青营业一班
2013/2/23,分表０１,有功功率,72.444,81.078,74.454,70.254,68.964,80.358,69.654,65.628,71.16,57.816,57.456,59.418,77.022,85.152,65.994,68.202,53.424,56.232,56.292,61.956,59.43,59.544,52.428,48.336,500,高供高计,60,常青营业一班
2013/2/23,分表０１,无功功率,24.6,33,34.8,21,21.6,35.4,21,18,21,31.8,30,29.4,24.6,33,25.8,31.2,23.4,22.8,23.4,29.4,28.2,30,19.8,34.8,500,高供高计,60,常青营业一班
2013/2/24,分表０１,有功功率,38.652,39.948,42.498,45.282,46.746,45.468,41.706,36.828,2.232,1.506,2.184,4.164,1.182,4.056,4.812,4.248,1.218,1.188,4.2,4.158,11.01,7.902,8.202,7.116,500,高供高计,60,常青营业一班
2013/2/24,分表０１,无功功率,30.6,30.6,31.2,36.6,36,31.2,36,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,500,高供高计,60,常青营业一班
2013/2/25,分表０１,有功功率,7.944,4.62,5.25,5.394,5.58,4.776,12.534,1.362,2.58,55.47,52.134,65.808,66.786,76.002,72.666,73.506,63.468,64.482,69.27,72.144,86.292,65.532,74.946,84.666,500,高供高计,60,常青营业一班
2013/2/25,分表０１,无功功率,3,3,3,3,3,3,3,0,0,22.8,26.4,34.2,30.6,31.2,34.2,30.6,22.8,24.6,19.8,21.6,31.2,15,24,34.8,500,高供高计,60,常青营业一班
2013/2/26,分表０１,有功功率,74.97,83.64,67.374,82.11,74.244,72.456,81.06,65.37,88.416,71.61,66.228,81.954,90.378,99.894,93.852,80.604,85.872,84.228,89.262,97.254,88.95,100.482,94.842,86.214,500,高供高计,60,常青营业一班
2013/2/26,分表０１,无功功率,26.4,31.2,19.2,28.2,27,24,32.4,19.8,19.2,30,31.8,33.6,25.2,30.6,30,29.4,21.6,15.6,15,25.8,15,24,19.2,10.8,500,高供高计,60,常青营业一班
2013/2/27,分表０１,有功功率,104.184,80.502,82.014,86.58,87.972,89.226,85.674,88.518,95.856,61.638,71.748,86.304,97.968,95.406,85.254,96.42,79.74,81.102,92.988,78.816,84.354,89.04,86.166,93.114,500,高供高计,60,常青营业一班
2013/2/27,分表０１,无功功率,33,10.8,12.6,19.8,16.2,21,21,21,22.2,26.4,28.2,25.2,31.8,24,27,28.2,25.8,19.8,28.8,11.4,22.8,27,26.4,25.2,500,高供高计,60,常青营业一班
