数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/5/27,武汉金运激光股份有限公司,500,001086,60,5.2,1096.81,0,437.4,637.21,22.21
2013/5/28,武汉金运激光股份有限公司,500,001086,60,5.2,1939.8,0,514.2,820.19,605.39
2013/5/29,武汉金运激光股份有限公司,500,001086,60,5.2,2077.21,0,514.2,821.39,741.62
2013/5/30,武汉金运激光股份有限公司,500,001086,60,5.2,1912.26,0,463.19,796.78,652.18
2013/5/31,武汉金运激光股份有限公司,500,001086,60,5.2,1987.73,0,493.79,810.61,683.41
2013/6/1,武汉金运激光股份有限公司,500,001086,60,5.2,1773.63,0,436.2,705.58,631.78
2013/6/2,武汉金运激光股份有限公司,500,001086,60,5.2,469.16,0,14.39,21,433.82
2013/6/3,武汉金运激光股份有限公司,500,001086,60,5.2,1140.64,0,466.8,652.21,21.59
2013/6/4,武汉金运激光股份有限公司,500,001086,60,5.2,1865.98,0,473.99,778.21,613.79
2013/6/5,武汉金运激光股份有限公司,500,001086,60,5.2,1876.75,0,501,735.58,640.19
2013/6/6,武汉金运激光股份有限公司,500,001086,60,5.2,1330.9,0,554.39,753.6,22.79
2013/6/7,武汉金运激光股份有限公司,500,001086,60,5.2,2089.69,0,548.99,807.59,733.21
2013/6/8,武汉金运激光股份有限公司,500,001086,60,5.2,2118.04,0,559.2,809.38,749.38
2013/6/9,武汉金运激光股份有限公司,500,001086,60,5.2,1837.15,0,454.8,591,791.39
2013/6/10,武汉金运激光股份有限公司,500,001086,60,5.2,1201.81,0,143.99,340.81,717.01
2013/6/11,武汉金运激光股份有限公司,500,001086,60,5.2,41.95,0,11.99,17.4,12.59
2013/6/12,武汉金运激光股份有限公司,500,001086,60,5.2,49.86,0,10.79,23.99,15
2013/6/13,武汉金运激光股份有限公司,500,001086,60,5.2,1179.61,0,493.21,661.2,25.19
2013/6/14,武汉金运激光股份有限公司,500,001086,60,5.2,2093.38,0,578.39,841.2,673.79
2013/6/15,武汉金运激光股份有限公司,500,001086,60,5.2,2089.86,0,489.59,817.21,783.01
2013/6/16,武汉金运激光股份有限公司,500,001086,60,5.2,598.18,0,39.61,70.78,487.79
2013/6/17,武汉金运激光股份有限公司,500,001086,60,5.2,621.56,0,216.59,352.21,52.79
2013/6/18,武汉金运激光股份有限公司,500,001086,60,5.2,738.04,0,260.4,447.01,30.61
2013/6/19,武汉金运激光股份有限公司,500,001086,60,5.2,790.78,0,256.2,499.19,35.39
2013/6/20,武汉金运激光股份有限公司,500,001086,60,5.2,944.35,0,326.99,573.6,43.79
2013/6/21,武汉金运激光股份有限公司,500,001086,60,5.2,1883.38,0,459.59,925.81,497.99
2013/6/22,武汉金运激光股份有限公司,500,001086,60,5.2,2115,0,515.4,909.58,690
2013/6/23,武汉金运激光股份有限公司,500,001086,60,5.2,492.65,0,15,29.41,448.21
