month,date,hour,peak_flat_valley,power_num,price
5,22,14,2,11177.17,6055.791
5,22,15,3,11864.54,6428.208
5,22,16,3,13077.295,11276.551
5,22,17,3,14269.878,12304.916
5,22,18,2,14957.949,12898.239
5,22,19,2,15524.816,8411.345
5,22,20,3,15870.352,8598.557
5,22,21,3,15959.312,13761.715
5,22,22,3,16753.733,14446.744
5,22,23,2,16709.026,14408.193
5,22,24,2,17492.535,9477.456
5,23,1,1,17747.145,9615.403
5,23,2,1,18140.42,4471.614
5,23,3,1,18282.752,4506.698
5,23,4,1,18314.582,4514.544
5,23,5,1,17804.855,4388.897
5,23,6,1,17319.088,4269.155
5,23,7,1,17334.042,4272.841
5,23,8,1,17138.838,4224.723
5,23,9,2,17134.013,4223.534
5,23,10,2,17613.094,9542.774
5,23,11,2,17326.507,9387.501
5,23,12,2,17683.34,9580.834
5,23,13,2,17607.677,9539.839
5,23,14,2,17639.43,9557.043
5,23,15,3,17031.352,9227.586
5,23,16,3,17709.662,15271.042
5,23,17,3,18376.57,15846.116
5,23,18,2,18416.086,15880.191
5,23,19,2,18710.281,10137.23
5,23,20,3,19562.137,10598.766
5,23,21,3,19125.259,16491.711
5,23,22,3,19143.132,16507.123
5,23,23,2,19065.972,16440.588
5,23,24,2,18945.132,10264.473
5,24,1,1,18695.316,10129.122
5,24,2,1,18991.25,4681.343
5,24,3,1,17985.22,4433.357
5,24,4,1,17082.825,4210.916
5,24,5,1,16219.289,3998.055
5,24,6,1,15927.61,3926.156
5,24,7,1,16315.206,4021.698
5,24,8,1,16256.764,4007.292
5,24,9,2,16274.842,4011.749
5,24,10,2,16197.379,8775.74
5,24,11,2,15997.389,8667.385
5,24,12,2,16251.008,8804.796
5,24,13,2,16225.564,8791.011
5,24,14,2,16182.699,8767.787
5,24,15,3,15616.969,8461.274
5,24,16,3,15679.847,13520.732
5,24,17,3,15168.731,13079.997
5,24,18,2,15519.593,13382.545
5,24,19,2,15843.66,8584.095
5,24,20,3,15921.355,8626.19
5,24,21,3,15822.23,13643.509
5,24,22,3,15354.348,13240.054
5,24,23,2,15797.301,13622.013
5,24,24,2,15838.919,8581.527
5,25,1,1,15394.291,8340.627
5,25,2,1,15413.015,3799.308
5,25,3,1,15067.552,3714.152
5,25,4,1,15790.678,3892.402
5,25,5,1,15853.41,3907.866
5,25,6,1,16211.263,3996.076
5,25,7,1,16099.013,3968.407
5,25,8,1,15703.262,3870.854
5,25,9,2,14825.971,3654.602
5,25,10,2,13468.778,7297.384
5,25,11,2,14281.159,7737.532
5,25,12,2,13435.838,7279.537
5,25,13,2,12928.082,7004.435
5,25,14,2,13041.641,7065.961
5,25,15,3,12655.704,6856.86
