month,date,hour,peak_flat_valley,real,pred
8.0,9.0,3.0,1.0,13410.978,14940.18
8.0,9.0,4.0,1.0,13816.627,14872.857
8.0,9.0,5.0,1.0,13439.403,14722.8955
8.0,9.0,6.0,1.0,13564.619,14683.108
8.0,9.0,7.0,1.0,13123.643,14576.472
8.0,9.0,8.0,1.0,12937.842,14521.168
8.0,9.0,9.0,2.0,12338.117,14395.659
8.0,9.0,10.0,2.0,12100.963,14414.092
8.0,9.0,11.0,2.0,12775.202,14597.638
8.0,9.0,12.0,2.0,12742.949,14659.463
8.0,9.0,13.0,2.0,11804.947,14526.703
8.0,9.0,14.0,2.0,11518.337,14504.303
8.0,9.0,15.0,3.0,11808.19,14575.725
8.0,9.0,16.0,3.0,12664.381,14861.571
8.0,9.0,17.0,3.0,13300.76,15096.243
8.0,9.0,18.0,2.0,13652.686,15335.458
8.0,9.0,19.0,2.0,13728.108,15361.288
8.0,9.0,20.0,3.0,14193.301,15378.741
8.0,9.0,21.0,3.0,14428.718,15522.035
8.0,9.0,22.0,3.0,15026.468,15786.276
8.0,9.0,23.0,2.0,15040.028,16036.366
8.0,9.0,24.0,2.0,14860.708,16015.842
8.0,10.0,1.0,1.0,14435.438,15874.658
8.0,10.0,2.0,1.0,14780.647,15683.047
8.0,10.0,3.0,1.0,14928.104,15527.404
8.0,10.0,4.0,1.0,14842.793,15380.344
8.0,10.0,5.0,1.0,14057.294,15097.953
8.0,10.0,6.0,1.0,14011.425,14979.06
8.0,10.0,7.0,1.0,13817.1,14882.628
8.0,10.0,8.0,1.0,13815.113,14851.851
8.0,10.0,9.0,2.0,14168.849,14877.131
8.0,10.0,10.0,2.0,13289.48,14753.932
8.0,10.0,11.0,2.0,14416.911,15049.666
8.0,10.0,12.0,2.0,14924.955,15289.731
8.0,10.0,13.0,2.0,15022.001,15417.741
8.0,10.0,14.0,2.0,15319.168,15584.473
8.0,10.0,15.0,3.0,14882.34,15407.054
8.0,10.0,16.0,3.0,15270.584,15587.056
8.0,10.0,17.0,3.0,16166.519,15983.597
8.0,10.0,18.0,2.0,17673.908,16834.686
8.0,10.0,19.0,2.0,17910.908,17214.547
8.0,10.0,20.0,3.0,18441.238,17364.068
8.0,10.0,21.0,3.0,18759.316,17630.877
8.0,10.0,22.0,3.0,18684.346,17748.545
8.0,10.0,23.0,2.0,18324.162,17981.8
8.0,10.0,24.0,2.0,18566.527,18187.768
8.0,11.0,1.0,1.0,17540.453,17968.662
8.0,11.0,2.0,1.0,17591.889,17739.264
8.0,11.0,3.0,1.0,17729.326,17601.168
8.0,11.0,4.0,1.0,17984.82,17579.904
8.0,11.0,5.0,1.0,18099.338,17588.879
8.0,11.0,6.0,1.0,18271.71,17655.707
8.0,11.0,7.0,1.0,18192.873,17674.197
8.0,11.0,8.0,1.0,17431.441,17434.713
8.0,11.0,9.0,2.0,17621.701,17163.822
8.0,11.0,10.0,2.0,16331.155,16605.508
