hour,peak_flat_valley,real,pred
5,1,17764.924,17910.785
6,1,17636.447,17668.47
7,1,17457.615,17440.467
8,1,14874.504,16368.629
9,2,14198.658,15193.7705
10,2,13923.785,14648.582
11,2,14075.365,14664.216
12,2,12684.484,14505.269
13,2,12712.037,14650.455
14,2,13669.313,14985.288
15,3,13449.32,15208.485
16,3,14642.477,15626.974
17,3,15589.796,16056.851
18,2,16916.445,16669.484
19,2,18061.588,17467.895
20,3,17193.016,17526.336
21,3,16482.742,17228.883
22,3,17257.096,17375.87
23,2,18295.027,17954.564
24,2,19583.246,18806.445
1,1,19882.879,19105.453
2,1,20702.564,19374.383
3,1,20801.713,19329.059
4,1,20416.703,19153.537
5,1,20023.371,18974.725
6,1,19291.707,18735.615
7,1,20186.83,18770.457
8,1,19810.176,18705.258
9,2,16240.926,17487.121
10,2,12625.193,15273.762
11,2,14183.026,14729.642
12,2,15143.667,14967.2705
13,2,15651.744,15335.512
14,2,14248.001,15131.879
15,3,15264.657,15523.295
16,3,14827.437,15634.811
17,3,15829.494,16051.95
18,2,16463.469,16443.693
19,2,16536.465,16667.408
20,3,16986.674,16958.734
21,3,17466.822,17315.387
22,3,17147.111,17371.277
23,2,17773.639,17728.086
24,2,18492.83,18210.693
1,1,18804.592,18344.49
2,1,19444.258,18705.602
3,1,19090.049,18698.914
4,1,17433.73,18213.76
5,1,17971.77,18002.684
6,1,18697.623,18027.254
7,1,18995.506,18103.436
8,1,19323.562,18223.664
9,2,18350.412,17784.58
10,2,17303.334,17225.035
11,2,17479.736,16954.709
12,2,16463.244,16447.406
13,2,17084.936,16414.672
14,2,15805.756,15949.092
15,3,15202.149,15528.311
16,3,16155.148,15859.369
17,3,16748.13,16306.333
18,2,17303.557,16784.693
19,2,19217.658,17810.11
20,3,19799.775,18552.498
21,3,19966.262,19024.55
22,3,20173.697,19301.764
23,2,19515.305,19294.27
24,2,19044.594,18989.348
1,1,18418.258,18432.812
2,1,18726.977,18283.184
3,1,19080.072,18300.396
4,1,19230.178,18339.898
5,1,19161.215,18338.236
6,1,19059.385,18306.219
7,1,19042.426,18277.092
8,1,18947.42,18231.604
9,2,17698.775,17602.863
10,2,15535.822,16489.78
11,2,15007.193,15604.065
12,2,16215.793,15638.093
13,2,14477.845,15120.746
14,2,15664.94,15401.284
15,3,16005.356,15754.908
16,3,16755.955,16276.919
17,3,16686.7,16541.492
18,2,17123.22,16885.229
19,2,16726.648,16889.822
20,3,17183.3,17052.225
21,3,18231.75,17608.453
22,3,19041.672,18268.656
23,2,19930.1,19103.125
24,2,20127.318,19535.082
1,1,19647.252,19233.924
2,1,19831.332,19051.703
3,1,19345.605,18807.793
4,1,19620.877,18714.88
5,1,18965.812,18516.125
6,1,18806.12,18355.924
7,1,18025.096,18055.713
8,1,17084.64,17581.648
9,2,17762.031,17215.238
