real,lstm
6540.943,6465.766996607303
8765.468,8697.021057336806
10787.976,10734.423062336444
11279.333,11210.428687343596
10646.811,10554.092019375323
9207.348,9112.132841945646
10876.367,10818.141262560843
11104.114,11019.616276106832
11007.803,10902.010491146562
11356.161,11265.155801283358
10984.069,10880.737749011514
10653.991,10552.032469458578
9944.929,9844.219771749495
10040.889,9950.105755871295
9049.823,8953.459265997884
8941.943,8853.18120339775
7713.305,7634.760693330763
5393.332,5353.294869221924
5354.518,5300.037499703644
5402.882,5348.57920736122
5285.248,5233.449492640494
5099.792,5059.295112214326
5282.277,5238.944142891168
5329.563,5293.910914993762
6567.077,6502.38143815112
9078.772,9007.589420467375
11060.647,11010.31690348005
11764.535,11695.003184640405
11086.911,10986.735812075136
9497.68,9391.52338709688
11571.649,11520.204549020289
12130.341,12045.396931765077
11608.386,11481.56592999172
11790.109,11692.608192784308
11448.071,11342.268497915265
11154.432,11047.563676926135
10795.94,10691.689984943865
10550.145,10449.115384965895
9265.615,9158.290288709639
8513.295,8424.431557761667
7321.751000000001,7248.529505836962
5203.539,5168.389654128074
5297.929,5238.959643170356
5232.067,5180.911495053767
5039.847,4993.26908963251
4952.389,4913.2467123868455
5171.927,5130.553075186728
5076.848,5048.224335886477
6469.8,6403.42169416809
9349.493,9277.567719163893
10988.651,10940.420977860926
11334.543,11260.65992543268
10618.341,10524.51748668432
9189.906,9093.850461364744
11387.305,11336.161387915132
10807.901,10705.707801532744
9793.275,9676.622009419916
10322.132,10244.257336126326
11193.499,11114.221236524103
10953.7,10847.295300498483
10111.207,10001.800379292963
10005.235,9915.644263362406
9447.686,9356.360010150907
9241.925,9151.579065264223
7641.957,7559.070047953604
5223.973,5188.775303361892
5345.756,5288.371751120805
5411.38,5355.305136199711
5156.188,5107.640880445241
5121.39,5077.12202305293
5310.235,5267.061649338483
5212.164,5180.591950836658
6605.701,6537.397363723277
9529.049,9454.744654031752
11442.111,11392.734227407453
12249.673,12177.810650109766
11319.431,11208.764990710733
9796.902,9687.911776871679
11346.96,11290.914085749624
10395.932,10287.063543041228
8700.079,8582.966823525903
6767.675,6696.210442183732
6517.645,6455.629019132136
6036.579,5979.191770966052
4610.751,4587.9089678483
4218.355,4186.602765236377
3925.7049999999995,3900.952690672993
3786.4989999999993,3760.0241522942774
3592.3970000000004,3577.2277700561276
