数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2013/6/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2136,0,618,1368,150
2013/6/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2207.76,0,558,1481.94,167.94
2013/6/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2778.18,0,977.88,1625.94,174
2013/6/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2867.82,0,858,1775.94,233.94
2013/6/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2015.88,0,384,995.94,635.94
2013/6/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,582.12,0,150,293.94,138
2013/6/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,486,0,143.94,210,131.94
2013/6/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1463.94,0,437.94,912,114
2013/6/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1422.06,0,528,756,138
2013/6/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1067.82,0,246,695.94,125.94
2013/6/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,900,0,335.94,468,96
2013/6/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1313.94,0,456,756,101.94
2013/6/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1182.12,0,359.94,737.94,84
2013/6/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1013.94,0,330,534.06,150
2013/7/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1805.82,0,431.94,1206,167.94
2013/7/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2340.18,0,624,1553.88,162
2013/7/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1655.82,0,437.94,1056,162
2013/7/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1812,0,425.94,1212,173.94
2013/7/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1787.94,0,432,1163.94,192
2013/7/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1218.12,0,347.94,702.06,167.94
2013/7/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,467.82,0,119.94,233.88,114
2013/7/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1998,0,522.06,1331.94,143.94
2013/7/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2087.94,0,533.88,1392,162
2013/7/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2184.06,0,576,1439.94,168
2013/7/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1829.88,0,467.94,1181.94,179.94
2013/7/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1793.82,0,474,1158.06,161.94
2013/7/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,606.12,0,156,300,150
2013/7/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,582.12,0,174,257.94,150
2013/7/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1721.76,0,419.94,1139.94,162
2013/7/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1848,0,521.94,1128.06,198
2013/7/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1889.94,0,534,1163.94,192
2013/7/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2496.06,0,809.94,1512,173.94
