数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/4/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,501.56,0,0,0,0
2013/4/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,363.2,0,0,0,0
2013/4/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,350.38,0,0,0,0
2013/4/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,363.2,0,0,0,0
2013/4/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,291.95,0,0,0,0
2013/4/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,268.82,0,0,0,0
2013/4/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,334.45,0,0,0,0
2013/4/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,391.95,0,0,0,0
2013/4/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,372.89,0,0,0,0
2013/4/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,537.58,0,0,0,0
2013/4/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,365.54,0,0,0,0
2013/4/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,252.81,0,0,0,0
2013/4/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,237.58,0,0,0,0
2013/4/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,351.25,0,0,0,0
2013/4/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,341.56,0,0,0,0
2013/4/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,348.82,0,0,0,0
2013/4/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,347.97,0,0,0,0
2013/4/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,363.98,0,0,0,0
2013/4/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,332.02,0,0,0,0
2013/4/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,940.78,0,0,0,0
2013/4/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,262.42,0,0,0,0
2013/4/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,183.98,0,0,0,0
2013/5/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,181.56,0,0,0,0
2013/5/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,610.46,0,0,0,0
2013/5/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,378.35,0,0,0,0
2013/5/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,303.98,0,0,0,0
2013/5/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,246.4,0,0,0,0
2013/5/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,400,0,0,0,0
2013/5/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,406.4,0,0,0,0
2013/5/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,396.01,0,0,0,0
2013/5/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,418.43,0,0,0,0
2013/5/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,394.37,0,0,0,0
2013/5/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,296.01,0,0,0,0
2013/5/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,267.97,0,0,0,0
2013/5/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,930.38,0,0,0,0
2013/5/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1019.22,0,0,0,0
2013/5/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,460.78,0,0,0,0
2013/5/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,431.17,0,0,0,0
2013/5/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,463.2,0,0,0,0
2013/5/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,311.17,0,0,0,0
2013/5/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,244.06,0,0,0,0
