hour,Peak_flat_valley,electric_charge,electric_charge
13,2,17607.677,9539.839
14,2,17639.43,9557.043
15,3,17031.352,9227.586
16,3,17709.662,15271.042
17,3,18376.57,15846.116
18,2,18416.086,15880.191
19,2,18710.281,10137.23
20,3,19562.137,10598.766
21,3,19125.259,16491.711
22,3,19143.132,16507.123
23,2,19065.972,16440.588
24,2,18945.132,10264.473
1,1,18695.316,10129.122
2,1,18991.25,4681.343
3,1,17985.22,4433.357
4,1,17082.825,4210.916
5,1,16219.289,3998.055
6,1,15927.61,3926.156
7,1,16315.206,4021.698
8,1,16256.764,4007.292
9,2,16274.842,4011.749
10,2,16197.379,8775.74
11,2,15997.389,8667.385
12,2,16251.008,8804.796
13,2,16225.564,8791.011
14,2,16182.699,8767.787
15,3,15616.969,8461.274
16,3,15679.847,13520.732
17,3,15168.731,13079.997
18,2,15519.593,13382.545
19,2,15843.66,8584.095
20,3,15921.355,8626.19
21,3,15822.23,13643.509
22,3,15354.348,13240.054
23,2,15797.301,13622.013
24,2,15838.919,8581.527
1,1,15394.291,8340.627
2,1,15413.015,3799.308
3,1,15067.552,3714.152
4,1,15790.678,3892.402
5,1,15853.41,3907.866
6,1,16211.263,3996.076
7,1,16099.013,3968.407
8,1,15703.262,3870.854
9,2,14825.971,3654.602
10,2,13468.778,7297.384
11,2,14281.159,7737.532
12,2,13435.838,7279.537
13,2,12928.082,7004.435
14,2,13041.641,7065.961
15,3,12655.704,6856.86
16,3,13607.382,11733.646
17,3,14919.727,12865.281
18,2,15549.743,13408.544
19,2,15367.428,8326.072
20,3,15469.06,8381.137
21,3,15868.039,13683.01
22,3,16541.047,14263.345
23,2,16807.885,14493.439
24,2,16384.391,8877.063
1,1,15928.043,8629.814
2,1,16649.624,4104.132
3,1,16794.164,4139.761
4,1,16715.813,4120.448
5,1,16380.782,4037.863
6,1,16441.576,4052.848
7,1,16152.026,3981.474
8,1,15775.923,3888.765
9,2,15653.391,3858.561
10,2,15210.003,8240.78
11,2,15731.93,8523.56
12,2,15702.611,8507.675
13,2,15627.518,8466.989
14,2,15028.706,8142.553
15,3,16334.301,8849.924
16,3,16792.434,14480.115
17,3,17582.835,15161.678
18,2,18088.198,15597.453
19,2,18322.937,9927.367
20,3,18121.731,9818.354
21,3,18458.608,15916.858
22,3,18153.726,15653.958
23,2,17675.219,15241.341
24,2,18250.157,9887.935
1,1,18125.366,9820.323
2,1,18441.926,4545.935
3,1,18087.186,4458.491
4,1,18161.366,4476.777
5,1,18032.616,4445.04
6,1,18118.554,4466.224
7,1,17845.559,4398.93
8,1,17664.749,4354.361
9,2,15657.229,3859.507
10,2,14620.101,7921.171
11,2,14024.389,7598.414
12,2,14437.745,7822.37
13,2,14680.062,7953.657
14,2,15055.308,8156.966
15,3,15608.316,8456.586
16,3,16206.259,13974.657
17,3,17034.317,14688.692
18,2,17357.894,14967.712
19,2,17964.775,9733.315
20,3,18161.37,9839.83
21,3,18858.013,16261.265
22,3,19269.479,16616.072
23,2,18953.684,16343.762
24,2,19057.34,10325.267
1,1,18400.906,9969.611
2,1,17237.488,4249.041
3,1,17294.951,4263.205
4,1,17151.448,4227.832
5,1,17167.374,4231.758
6,1,17763.403,4378.679
7,1,18142.292,4472.075
8,1,17878.214,4406.98
9,2,16828.28,4148.171
10,2,16180.959,8766.844
