数据日期,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/5/9,无功功率,9.24,2.4,2.16,1.92,3.36,17.64,3.96,2.64,4.56,38.16,36.24,0,-47.88,-32.28,1.8,16.44,-4.44,0.72,11.16,20.76,16.68,1.68,2.04,1.68,1000,1200
2015/5/10,有功功率,11.64,37.2,11.04,12.36,8.76,9.24,38.88,31.8,14.04,25.44,29.52,10.8,12.12,19.08,15.12,44.4,12.96,25.32,24.96,14.4,19.32,17.64,41.64,34.08,1000,1200
2015/5/10,无功功率,2.16,18,3.12,3.24,2.28,2.4,2.76,17.76,3.72,3.48,3.12,8.52,4.08,9.36,4.08,19.8,3.24,3.84,3.84,3,2.52,3.6,18.72,16.8,1000,1200
2015/5/11,有功功率,9.72,9.6,9.48,9.96,45.72,33.36,31.2,13.56,14.64,60.72,107.16,84.12,39.72,74.04,79.32,75.96,118.56,48.96,42.48,39.48,29.64,50.88,45.12,15.84,1000,1200
2015/5/11,无功功率,3,3,3,3.24,19.8,4.44,3.72,3.48,3.96,45.72,21.12,43.56,14.16,39.12,24.72,-13.92,7.2,-45.48,-4.92,18.48,15.36,5.52,19.56,4.56,1000,1200
2015/5/12,有功功率,12.84,13.32,12.84,37.68,16.56,16.2,21.72,30.36,20.88,116.28,133.68,87,65.52,63.84,105,109.32,117.6,34.92,71.4,55.92,40.92,23.76,34.92,39.24,1000,1200
2015/5/12,无功功率,4.44,4.68,5.04,20.28,4.8,5.04,5.16,4.92,4.8,41.52,-1.32,15.12,-28.8,13.56,23.76,20.4,50.04,-34.08,-4.56,55.08,18.72,3.36,17.28,19.44,1000,1200
2015/5/13,有功功率,9.36,11.4,9.36,32.28,9.12,9.36,34.2,16.44,27.72,91.56,82.2,68.28,35.88,39.72,98.52,94.32,102.72,41.28,77.28,48.24,38.76,36,39.96,16.2,1000,1200
2015/5/13,无功功率,2.88,4.8,4.08,20.04,3.72,2.76,4.44,4.08,4.08,54.24,16.56,21.72,-32.16,-14.64,28.32,12.12,11.28,-53.88,-12.84,-40.56,-50.28,-39,-29.88,-44.64,1000,1200
2015/5/14,有功功率,9.96,9.48,11.4,36.12,12.96,17.28,32.04,9.48,18.72,108.48,127.44,89.64,30.96,49.08,81.12,98.76,58.8,34.2,37.2,69.84,68.04,31.92,24,33.12,1000,1200
2015/5/14,无功功率,-45.48,-45.48,-44.4,-29.04,-44.52,-45.24,-44.64,-44.64,-43.08,31.8,30.36,1.92,13.56,42.12,33.96,,22.8,22.2,17.28,33.36,-1.92,9.12,3.24,18,1000,1200
2015/5/15,有功功率,32.88,10.2,9.24,10.8,9.48,16.68,27.84,18.96,24.24,96.84,93.48,116.52,41.04,60,72.6,94.92,66.6,27.72,18,24.96,25.68,50.76,15.24,28.08,1000,1200
2015/5/15,无功功率,17.52,2.76,2.64,3.72,3.36,3,4.32,2.64,6.36,27.12,20.76,61.8,18.24,30.48,15.72,8.16,14.16,24.24,5.04,11.52,10.2,18.84,2.64,4.2,1000,1200
2015/5/16,有功功率,9.72,12.84,14.76,12.96,9.6,22.44,18.96,17.4,43.44,47.64,45.12,38.64,40.2,39,43.2,49.44,67.68,45.24,17.64,18.12,23.52,18.72,41.28,15.24,1000,1200
2015/5/16,无功功率,3.12,2.88,4.56,3,3.12,4.56,3.24,3.72,18,4.44,19.44,23.88,12.12,23.76,18.48,22.32,21.24,6.96,5.04,5.04,4.08,3.96,18.36,4.08,1000,1200
2015/5/17,有功功率,14.04,15.12,11.16,25.32,15.48,17.16,34.2,11.88,22.92,19.8,13.2,56.76,12.6,18.84,16.32,23.04,34.44,27.96,14.16,39.12,16.68,21,16.68,12.6,1000,1200
2015/5/17,无功功率,4.68,3.96,3.36,3.96,4.2,4.8,5.52,5.28,3.96,8.88,3.84,18.36,4.44,3.72,3.96,5.28,3.96,4.44,3.72,18.48,2.76,4.2,3.6,3.48,1000,1200
2015/5/18,有功功率,15.24,33.24,10.2,10.8,21.72,15.84,13.2,37.8,16.92,60.36,72.72,51.96,41.04,46.8,61.56,93.12,93,63.84,41.52,47.64,44.28,38.64,41.4,59.88,1000,1200
2015/5/18,无功功率,3.48,18.72,3.12,3.6,4.68,3.48,3.24,19.44,4.08,8.4,30.36,45.36,-4.92,25.08,35.76,0.84,23.64,-55.2,-24.6,15.72,26.4,4.2,18.72,18.24,1000,1200
2015/5/19,有功功率,15,10.8,10.08,13.68,11.88,41.04,23.76,14.76,24.96,121.32,120.36,109.32,33.24,97.08,98.04,98.4,85.2,23.76,58.92,51.72,32.76,30.48,50.52,19.56,1000,1200
2015/5/19,无功功率,4.08,3.12,3.12,3.36,3.36,18.48,3.12,3.24,4.44,24.12,41.16,33.96,-57.12,27.72,23.76,14.4,5.4,-35.16,4.56,51.72,8.88,12.48,27,9.96,1000,1200
2015/5/20,有功功率,19.32,19.08,18,42.12,19.08,19.08,18.12,21.24,45.36,80.76,68.88,100.08,56.16,80.88,77.88,,128.28,34.44,33.72,32.04,44.64,48.72,17.76,27.12,1000,1200
2015/5/20,无功功率,10.32,10.32,9.96,24.84,11.04,11.16,10.08,10.56,14.76,1.92,23.4,22.44,33.72,115.2,88.92,95.64,150.72,10.68,37.32,11.28,6.48,21,5.52,5.04,1000,1200
2015/5/21,有功功率,14.88,17.64,36.24,18,14.04,13.44,21,24.24,17.4,70.56,70.8,94.8,40.2,89.88,79.92,102.48,71.4,33.24,45,73.68,45,32.16,14.76,12.72,1000,1200
2015/5/21,无功功率,6,6,20.28,7.56,5.64,6.12,6.48,10.92,10.44,16.44,24.72,38.52,-52.56,21.96,8.76,20.88,3,-45.6,-24,-28.56,-34.8,8.88,2.28,2.52,1000,1200
2015/5/22,有功功率,10.56,9.48,23.04,12.6,12.72,29.04,28.2,12.48,25.44,103.2,87,83.4,56.88,69.48,73.92,83.76,58.2,35.88,60.6,37.2,21.84,22.08,13.8,16.32,1000,1200
2015/5/22,无功功率,3.72,3.48,4.08,3.48,3.6,3.6,3.6,3,6.12,7.08,21.96,39.36,-25.8,-2.16,12.48,19.8,31.8,-23.16,12.96,-8.76,-42.96,-42.72,-44.04,-43.68,1000,1200
2015/5/23,有功功率,13.08,10.32,10.08,15,17.4,33.6,14.64,16.8,44.76,105.84,137.04,99.48,36.48,79.44,97.32,118.68,77.76,17.16,45.24,26.52,14.28,35.04,11.4,11.28,1000,1200
2015/5/23,无功功率,-42.72,-43.68,-43.8,-43.56,-43.92,-43.56,-43.32,-43.08,-24,31.2,58.56,13.32,-52.08,44.16,-10.44,0.36,-33.36,-90.72,-80.64,10.2,2.04,17.76,1.8,2.4,1000,1200
2015/5/24,有功功率,10.8,10.08,9.72,36.36,9.6,9.96,10.32,15.72,33,15.36,35.64,27,15,11.88,10.68,21.48,26.16,19.68,38.76,38.4,18.84,17.04,22.8,12.72,1000,1200
2015/5/24,无功功率,2.16,2.76,2.64,18,2.4,3.24,3.24,9.84,11.88,3,11.76,3.6,4.68,3.36,3.12,3.24,6.72,3.6,4.44,18.72,3.12,3.12,3.84,4.32,1000,1200
2015/5/25,有功功率,12.12,34.92,11.88,13.44,12.48,33.12,23.04,23.64,38.76,93.36,59.64,88.56,35.52,75.36,70.08,87.96,84.12,62.28,68.88,75.48,39.72,30.48,23.88,42.48,1000,1200
2015/5/25,无功功率,3.36,18.96,3.84,4.44,3.6,4.44,3.96,4.2,19.8,50.04,,20.28,-56.28,18,-8.88,16.68,-20.04,-53.88,-14.88,24.36,26.76,3.24,1.68,18.6,1000,1200
2015/5/26,有功功率,13.8,11.52,15.24,13.44,13.92,22.56,47.76,22.92,38.28,83.04,83.28,86.52,44.76,127.68,97.2,93.48,78,26.88,38.04,42.96,48.96,37.08,80.04,24.36,1000,1200
2015/5/26,无功功率,3.36,3.48,3.96,4.08,5.28,4.08,18.84,4.68,5.52,21.24,-0.84,20.76,-51.6,48.96,-12.36,-0.48,-5.4,-64.2,22.32,18.96,12.96,11.4,26.28,8.28,1000,1200
2015/5/27,有功功率,23.76,20.28,44.04,25.44,36.12,19.56,40.68,35.04,63.84,102.84,93.36,74.16,53.28,83.16,97.56,71.76,79.08,16.68,39.6,73.68,41.16,46.2,19.08,45.12,1000,1200
2015/5/27,无功功率,8.76,8.52,23.64,10.32,9.24,8.04,8.28,9.84,24.48,1.2,3.6,2.88,21.72,107.04,101.28,35.64,49.08,3.72,24.96,31.44,19.8,6.72,3.12,8.16,1000,1200
2015/5/28,有功功率,13.08,24.24,10.44,19.56,10.32,21.12,21.24,40.2,25.2,79.56,86.16,81.84,42.24,78.96,87.72,106.68,131.76,45.12,30.84,30.36,33.84,28.44,35.64,38.28,1000,1200
2015/5/28,无功功率,2.76,3.24,2.88,4.08,3,4.2,3,18,4.32,9.84,2.52,16.68,13.92,22.2,29.52,8.16,42.96,-24.36,27.48,21.48,17.16,5.28,5.76,19.2,1000,1200
