数据日期,用户名称,运行容量,计量方式,电能表号,综合倍率,当日最大需量,发生时间,表位数,在线情况
2015-09-15,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-16,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-17,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-18,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-19,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-20,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-21,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-22,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-23,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1346,3:28,6.2,在线
2015-09-24,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-09-25,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-09-26,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-09-27,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-09-28,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-09-29,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-09-30,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-01,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-02,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-03,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-04,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-05,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-06,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-07,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-08,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-09,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-10,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-11,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1061,3:08,6.2,在线
2015-10-12,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.109,3:24,6.2,在线
2015-10-13,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-14,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-15,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-16,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-17,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-18,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-19,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-20,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-21,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-22,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1105,9:47,6.2,在线
2015-10-23,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1119,2:24,6.2,在线
2015-10-24,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.0927,2:37,6.2,在线
2015-10-25,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.0927,2:37,6.2,在线
2015-10-26,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1093,9:08,6.2,在线
2015-10-27,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-10-28,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-10-29,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-10-30,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-10-31,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-01,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-02,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-03,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-04,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-05,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-06,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-07,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-08,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-09,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-10,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-11,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-12,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-13,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-14,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-15,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-16,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-17,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-18,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,9:37,6.2,在线
2015-11-19,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1169,2:11,6.2,在线
2015-11-20,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1169,2:11,6.2,在线
2015-11-21,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1169,2:11,6.2,在线
2015-11-22,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1169,2:11,6.2,在线
2015-11-23,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1169,2:11,6.2,在线
2015-11-24,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1086,2:53,6.2,在线
2015-11-25,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1086,2:53,6.2,在线
2015-11-26,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1157,10:00,6.2,在线
2015-11-27,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1271,2:28,6.2,在线
2015-11-28,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1271,2:28,6.2,在线
2015-11-29,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1271,2:28,6.2,在线
